curtime: 070007, startEpoch: 1960559, endEpoch: 1960620, NextEpochForBlockMsgsCount: 1960620, BlockMsgsCount: 15758, elapsed: 2m51.891358529s
curtime: 070017, startEpoch: 1960559, endEpoch: 1960680, NextEpochForBlockMsgsCount: 1960680, BlockMsgsCount: 29774, elapsed: 2m28.450595499s
curtime: 070900, startEpoch: 1960559, endEpoch: 1960740, NextEpochForBlockMsgsCount: 1960740, BlockMsgsCount: 43632, elapsed: 14.168487488s
curtime: 070913, startEpoch: 1960559, endEpoch: 1960800, NextEpochForBlockMsgsCount: 1960800, BlockMsgsCount: 59409, elapsed: 3m8.186879505s
curtime: 070920, startEpoch: 1960559, endEpoch: 1960860, NextEpochForBlockMsgsCount: 1960860, BlockMsgsCount: 74747, elapsed: 20.893945215s
curtime: 070944, startEpoch: 1960559, endEpoch: 1960920, NextEpochForBlockMsgsCount: 1960920, BlockMsgsCount: 89761, elapsed: 14m19.972656721s
curtime: 071002, startEpoch: 1960559, endEpoch: 1960980, NextEpochForBlockMsgsCount: 1960980, BlockMsgsCount: 102578, elapsed: 18m8.730350516s
curtime: 071021, startEpoch: 1960559, endEpoch: 1961040, NextEpochForBlockMsgsCount: 1961040, BlockMsgsCount: 116021, elapsed: 18m34.256020286s
curtime: 071102, startEpoch: 1960559, endEpoch: 1961160, NextEpochForBlockMsgsCount: 1961160, BlockMsgsCount: 147773, elapsed: 20m50.410816361s
curtime: 071120, startEpoch: 1960559, endEpoch: 1961220, NextEpochForBlockMsgsCount: 1961220, BlockMsgsCount: 161193, elapsed: 17m58.959935931s
curtime: 071139, startEpoch: 1960559, endEpoch: 1961280, NextEpochForBlockMsgsCount: 1961280, BlockMsgsCount: 175899, elapsed: 18m34.165775793s
curtime: 071156, startEpoch: 1960559, endEpoch: 1961340, NextEpochForBlockMsgsCount: 1961340, BlockMsgsCount: 190026, elapsed: 17m39.612241627s
curtime: 071215, startEpoch: 1960559, endEpoch: 1961400, NextEpochForBlockMsgsCount: 1961400, BlockMsgsCount: 204426, elapsed: 18m27.151322966s
curtime: 071302, startEpoch: 1960559, endEpoch: 1961460, NextEpochForBlockMsgsCount: 1961460, BlockMsgsCount: 218905, elapsed: 2m57.307687228s
curtime: 071322, startEpoch: 1960559, endEpoch: 1961520, NextEpochForBlockMsgsCount: 1961520, BlockMsgsCount: 232784, elapsed: 18m0.3778122s
curtime: 071341, startEpoch: 1960559, endEpoch: 1961580, NextEpochForBlockMsgsCount: 1961580, BlockMsgsCount: 247808, elapsed: 19m9.503234206s
curtime: 071400, startEpoch: 1960559, endEpoch: 1961640, NextEpochForBlockMsgsCount: 1961640, BlockMsgsCount: 262680, elapsed: 19m2.722628167s
curtime: 071418, startEpoch: 1960559, endEpoch: 1961700, NextEpochForBlockMsgsCount: 1961700, BlockMsgsCount: 277425, elapsed: 18m24.703545202s
curtime: 071436, startEpoch: 1960559, endEpoch: 1961760, NextEpochForBlockMsgsCount: 1961760, BlockMsgsCount: 292009, elapsed: 17m54.053101498s
curtime: 071452, startEpoch: 1960559, endEpoch: 1961820, NextEpochForBlockMsgsCount: 1961820, BlockMsgsCount: 305454, elapsed: 15m58.154728622s
curtime: 071507, startEpoch: 1960559, endEpoch: 1961880, NextEpochForBlockMsgsCount: 1961880, BlockMsgsCount: 318157, elapsed: 14m26.31974376s
curtime: 071519, startEpoch: 1960559, endEpoch: 1961940, NextEpochForBlockMsgsCount: 1961940, BlockMsgsCount: 328001, elapsed: 11m57.397761664s
curtime: 071531, startEpoch: 1960559, endEpoch: 1962000, NextEpochForBlockMsgsCount: 1962000, BlockMsgsCount: 338134, elapsed: 12m11.843920539s
curtime: 071544, startEpoch: 1960559, endEpoch: 1962060, NextEpochForBlockMsgsCount: 1962060, BlockMsgsCount: 349816, elapsed: 13m14.842935566s
curtime: 071555, startEpoch: 1960559, endEpoch: 1962120, NextEpochForBlockMsgsCount: 1962120, BlockMsgsCount: 359449, elapsed: 11m21.440903117s
curtime: 071608, startEpoch: 1960559, endEpoch: 1962180, NextEpochForBlockMsgsCount: 1962180, BlockMsgsCount: 370881, elapsed: 12m49.426302386s
curtime: 071621, startEpoch: 1960559, endEpoch: 1962240, NextEpochForBlockMsgsCount: 1962240, BlockMsgsCount: 382008, elapsed: 12m33.478554227s
curtime: 071634, startEpoch: 1960559, endEpoch: 1962300, NextEpochForBlockMsgsCount: 1962300, BlockMsgsCount: 393839, elapsed: 13m30.019537771s
curtime: 071649, startEpoch: 1960559, endEpoch: 1962360, NextEpochForBlockMsgsCount: 1962360, BlockMsgsCount: 406589, elapsed: 14m28.416765339s
curtime: 071702, startEpoch: 1960559, endEpoch: 1962420, NextEpochForBlockMsgsCount: 1962420, BlockMsgsCount: 419204, elapsed: 13m42.173137212s
curtime: 071716, startEpoch: 1960559, endEpoch: 1962480, NextEpochForBlockMsgsCount: 1962480, BlockMsgsCount: 430675, elapsed: 13m10.723922711s
curtime: 071729, startEpoch: 1960559, endEpoch: 1962540, NextEpochForBlockMsgsCount: 1962540, BlockMsgsCount: 443176, elapsed: 13m20.912780347s
curtime: 071742, startEpoch: 1960559, endEpoch: 1962600, NextEpochForBlockMsgsCount: 1962600, BlockMsgsCount: 455696, elapsed: 13m29.244937665s
curtime: 071755, startEpoch: 1960559, endEpoch: 1962660, NextEpochForBlockMsgsCount: 1962660, BlockMsgsCount: 467135, elapsed: 12m48.611306268s
curtime: 071808, startEpoch: 1960559, endEpoch: 1962720, NextEpochForBlockMsgsCount: 1962720, BlockMsgsCount: 478900, elapsed: 12m53.409142073s
curtime: 071820, startEpoch: 1960559, endEpoch: 1962780, NextEpochForBlockMsgsCount: 1962780, BlockMsgsCount: 489887, elapsed: 12m22.224228149s
curtime: 072127, startEpoch: 1960559, endEpoch: 1962840, NextEpochForBlockMsgsCount: 1962840, BlockMsgsCount: 501807, elapsed: 13m7.407163752s
curtime: 091733, startEpoch: 1960559, endEpoch: 1962900, NextEpochForBlockMsgsCount: 1962900, BlockMsgsCount: 514372, elapsed: 8m37.781636583s
curtime: 091746, startEpoch: 1960559, endEpoch: 1962960, NextEpochForBlockMsgsCount: 1962960, BlockMsgsCount: 526138, elapsed: 13m0.457812539s
curtime: 091758, startEpoch: 1960559, endEpoch: 1963020, NextEpochForBlockMsgsCount: 1963020, BlockMsgsCount: 537920, elapsed: 12m12.530404967s
curtime: 091815, startEpoch: 1960559, endEpoch: 1963080, NextEpochForBlockMsgsCount: 1963080, BlockMsgsCount: 549983, elapsed: 11m56.572995971s
curtime: 091829, startEpoch: 1960559, endEpoch: 1963140, NextEpochForBlockMsgsCount: 1963140, BlockMsgsCount: 563875, elapsed: 14m11.510497349s
curtime: 091840, startEpoch: 1960559, endEpoch: 1963200, NextEpochForBlockMsgsCount: 1963200, BlockMsgsCount: 574512, elapsed: 11m27.376918413s
curtime: 091849, startEpoch: 1960559, endEpoch: 1963260, NextEpochForBlockMsgsCount: 1963260, BlockMsgsCount: 582100, elapsed: 8m52.386773347s
curtime: 091858, startEpoch: 1960559, endEpoch: 1963320, NextEpochForBlockMsgsCount: 1963320, BlockMsgsCount: 589492, elapsed: 8m18.454527454s
curtime: 091907, startEpoch: 1960559, endEpoch: 1963380, NextEpochForBlockMsgsCount: 1963380, BlockMsgsCount: 596317, elapsed: 8m26.073847569s
curtime: 100916, startEpoch: 1960559, endEpoch: 1963440, NextEpochForBlockMsgsCount: 1963440, BlockMsgsCount: 602949, elapsed: 8m41.174617095s
curtime: 100926, startEpoch: 1960559, endEpoch: 1963500, NextEpochForBlockMsgsCount: 1963500, BlockMsgsCount: 610795, elapsed: 9m5.532230557s
curtime: 100937, startEpoch: 1960559, endEpoch: 1963560, NextEpochForBlockMsgsCount: 1963560, BlockMsgsCount: 620414, elapsed: 10m3.134668601s
curtime: 100947, startEpoch: 1960559, endEpoch: 1963620, NextEpochForBlockMsgsCount: 1963620, BlockMsgsCount: 629834, elapsed: 10m15.99097261s
curtime: 100958, startEpoch: 1960559, endEpoch: 1963680, NextEpochForBlockMsgsCount: 1963680, BlockMsgsCount: 639709, elapsed: 10m26.388245037s
curtime: 101009, startEpoch: 1960559, endEpoch: 1963740, NextEpochForBlockMsgsCount: 1963740, BlockMsgsCount: 651638, elapsed: 11m32.907264068s
curtime: 101020, startEpoch: 1960559, endEpoch: 1963800, NextEpochForBlockMsgsCount: 1963800, BlockMsgsCount: 661337, elapsed: 10m35.954069003s
curtime: 101030, startEpoch: 1960559, endEpoch: 1963860, NextEpochForBlockMsgsCount: 1963860, BlockMsgsCount: 669426, elapsed: 9m44.886796707s
curtime: 101042, startEpoch: 1960559, endEpoch: 1963920, NextEpochForBlockMsgsCount: 1963920, BlockMsgsCount: 679390, elapsed: 11m50.282253989s
curtime: 101055, startEpoch: 1960559, endEpoch: 1963980, NextEpochForBlockMsgsCount: 1963980, BlockMsgsCount: 691545, elapsed: 13m7.557727293s
curtime: 101107, startEpoch: 1960559, endEpoch: 1964040, NextEpochForBlockMsgsCount: 1964040, BlockMsgsCount: 702819, elapsed: 12m9.99016282s
curtime: 101120, startEpoch: 1960559, endEpoch: 1964100, NextEpochForBlockMsgsCount: 1964100, BlockMsgsCount: 714629, elapsed: 12m35.063106572s
curtime: 101131, startEpoch: 1960559, endEpoch: 1964160, NextEpochForBlockMsgsCount: 1964160, BlockMsgsCount: 725818, elapsed: 11m55.981955396s
curtime: 101143, startEpoch: 1960559, endEpoch: 1964220, NextEpochForBlockMsgsCount: 1964220, BlockMsgsCount: 736794, elapsed: 11m19.81388883s
curtime: 101219, startEpoch: 1960559, endEpoch: 1964280, NextEpochForBlockMsgsCount: 1964280, BlockMsgsCount: 748408, elapsed: 6m25.556223907s
curtime: 101245, startEpoch: 1960559, endEpoch: 1964340, NextEpochForBlockMsgsCount: 1964340, BlockMsgsCount: 759469, elapsed: 8m43.551293768s
curtime: 101310, startEpoch: 1960559, endEpoch: 1964400, NextEpochForBlockMsgsCount: 1964400, BlockMsgsCount: 770677, elapsed: 12m12.98134955s
curtime: 101320, startEpoch: 1960559, endEpoch: 1964460, NextEpochForBlockMsgsCount: 1964460, BlockMsgsCount: 780842, elapsed: 10m28.93450785s
curtime: 101331, startEpoch: 1960559, endEpoch: 1964520, NextEpochForBlockMsgsCount: 1964520, BlockMsgsCount: 792382, elapsed: 11m1.271883101s
curtime: 101343, startEpoch: 1960559, endEpoch: 1964580, NextEpochForBlockMsgsCount: 1964580, BlockMsgsCount: 803633, elapsed: 11m21.019145671s
